Content_ID,Reaction_Type,Date
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01
97522e57-d9ab-4bd6-97bf-c24d952602d2,love,2020-08-04
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-11-01
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-10-07
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-03
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-24
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-09-23
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-02-24
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-05-22
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,2021-01-31
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-11-20
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-04-11
97522e57-d9ab-4bd6-97bf-c24d952602d2,like,2021-06-13
97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-11
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-03-02
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-06-27
