Content_ID,Category,Content_Type,Reaction_Type,Sentiment,Reaction_Score,Date
004e820e-49c3-4ba2-9d02-62db0065410c,tennis,audio,heart,positive,60,2021-03-09
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,adore,positive,72,2020-09-25
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,intrigued,positive,45,2020-08-16
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,worried,negative,12,2021-05-14
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,like,positive,50,2021-01-15
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,scared,negative,15,2021-05-09
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,cherish,positive,70,2021-04-26
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,adore,positive,72,2020-07-20
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,dislike,negative,10,2021-06-18
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,worried,negative,12,2020-10-11
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,super love,positive,75,2020-08-22
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,peeking,neutral,35,2020-11-01
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,interested,positive,30,2020-12-24
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,disgust,negative,0,2020-08-31
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,want,positive,70,2020-10-17
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,indifferent,neutral,20,2021-04-07
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,super love,positive,75,2021-04-17
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,hate,negative,5,2021-02-08
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,hate,negative,5,2021-01-31
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,worried,negative,12,2020-09-18
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,want,positive,70,2020-10-03
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,love,positive,65,2020-12-30
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,intrigued,positive,45,2020-09-06
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,adore,positive,72,2021-04-18
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,super love,positive,75,2020-07-04
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,peeking,neutral,35,2021-03-31
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,scared,negative,15,2020-11-02
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,scared,negative,15,2021-04-16
00d0cdf9-5919-4102-bf84-ebde253c3cd2,healthy eating,audio,intrigued,positive,45,2021-05-03
